server,bus1,bus2,cloud
-0.03931575919624711,-0.03368399679142491,-0.07486731200644482,-0.09572421544306028
-0.06791484066998857,-0.04469111138964986,-0.05165214089659932,-0.10792078769019876
-0.07097296875386233,-0.05036816855675503,-0.05907554343989188,-0.10286663571814839
-0.06673925285138112,-0.04947121032245103,-0.07017640932892785,-0.09658370019429313
-0.0590807154222644,-0.040609240095718674,-0.09432195865481474,-0.09722305830220689
-0.06097197653909143,-0.04492923224073929,-0.06660273279709127,-0.09685830015968185
-0.04870999878911281,-0.03527722895481146,-0.0721334894423664,-0.092613592651911
-0.03834804336403395,-0.04568881805979763,-0.04539796129282716,-0.09169536639034175
-0.049852433410098866,-0.06942597655748776,-0.038630957630236266,-0.09640606952957878
-0.0631159814729669,-0.06138131971963084,-0.04469564008415884,-0.09526801494098032
-0.058901118307374725,-0.029134298168247186,-0.052174491162768115,-0.09272387499368615
-0.0559998502042991,-0.03935388215977306,-0.04126481508636763,-0.09704337680719503
-0.06112172780795485,-0.03664749698234265,-0.05431997425943346,-0.09519573355322009
-0.051429079009320505,-0.030320073427472134,-0.05337212025384095,-0.0933145637583021
-0.04149370278300831,-0.048794539635396504,-0.08371092771998642,-0.09732988506838275
-0.04182816454453975,-0.059340625674768235,-0.09296315120369726,-0.0855713861518565
-0.028155507227347058,-0.041867066165449836,-0.06899816748103298,-0.09109620086804525
-0.053685826294491805,-0.05266115378395376,-0.06226962567416546,-0.08729969195759732
-0.05279928864116654,-0.04858635095316796,-0.04369652441501656,-0.09145443469033626
-0.04004533065440161,-0.05909144645287067,-0.05091393373040692,-0.09197005418779468
-0.04789904865958549,-0.05074071756816659,-0.05220676023173886,-0.09796408193794368
-0.05207035277526846,-0.0656401780970778,-0.03764157361605061,-0.09856453958899389
-0.0428822121282529,-0.05787454232017975,-0.051766687850954986,-0.09478679530008735
-0.05823308947063963,-0.05140112207076934,-0.06631870326280764,-0.10773782706953135
-0.057912659649330574,-0.05755895416195776,-0.07704734602104572,-0.10230174826622018
-0.04100905849310122,-0.06841782239703924,-0.05740106097680182,-0.10189865558477755
-0.0573131278200408,-0.051394829119042904,-0.07066855668446788,-0.09193679811633088
-0.047092772031007916,-0.06296721951297024,-0.08623749618789098,-0.09430401432578236
-0.05267666768150456,-0.05159872754658908,-0.07944967593035372,-0.09607893457531601
-0.05042476175836923,-0.04460136947083289,-0.07288882743046468,-0.09364958095674512
-0.035000168190263796,-0.04468629370410404,-0.04415324027297635,-0.08724417753455055
-0.05419209110407325,-0.04273468576966448,-0.0921648242863634,-0.09707761267288369
-0.052628814566217166,-0.05963180425994895,-0.0719108187603488,-0.09134347510057053
-0.06061853454412373,-0.06184334981629995,-0.07262835186141776,-0.089591037639911
-0.04269080239563558,-0.05099697075083626,-0.05434142290512205,-0.09921298547409858
-0.04403440170524525,-0.048036237576723734,-0.06150771207635149,-0.09600399034298239
-0.06412303546064187,-0.0630769593313108,-0.07043125055103479,-0.09351836208238523
